,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
93,Borja Bastón ,Forward,18,,,5,,,5,3,6,3,,,,,,,,,,0,180,10.00,0,6,,,,0,0,3,4,1,0,1,0,1,0.06,0,0,15,3,20%,3,,,,,,,,
94,Cameron Borthwick-Jackson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
95,Artur Boruc ,Goalkeeper,35,9,63,,,,,,,,,,,,,,,0,2,0,888,25.37,,,,,235,2,0,0,,0,,,,,,,,,,,,114,2,20,32,14,11,181,297
96,Sofiane Boufal ,Midfielder,24,,,38,66%,,8,5,3,1,,86,143,157,73,10,13,,0,0,508,21.17,3,34,15%,2,17,5,0,25,1,1,0,0,1,0,0.04,0,0,25,7,28%,0,,,,,,,,
97,Jarrod Bowen ,Forward,7,,,2,,,1,1,0,0,,,,,,,,,,0,70,10.00,0,0,,,,0,0,3,0,0,0,0,0,0,0.00,0,0,3,0,0%,1,,,,,,,,
98,George Boyd ,Midfielder,36,,,87,75%,,16,34,35,16,,152,156,188,19,23,56,,0,1,550,15.28,3,39,15%,1,13,3,0,31,8,2,0,0,2,0,0.06,0,0,35,6,17%,0,,,,,,,,
99,Brad Smith ,Defender,5,0,8,5,40%,0,1,3,9,4,0,14,9,15,1,0,2,0,0,0,114,22.80,0,4,0%,0,3,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
100,Robbie Brady ,Midfielder,14,,,21,76%,,5,11,7,4,,50,51,50,7,9,7,,0,2,222,15.86,2,62,34%,0,20,1,0,8,0,1,0,0,1,1,0.07,0,1,19,3,16%,0,,,,,,,,
101,Cameron Brannagan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
102,Claudio Bravo ,Goalkeeper,22,5,26,,,,,,,,,,,,,,,0,1,0,664,30.18,,,,,101,0,0,0,,0,,,,,,,,,,,,33,1,12,12,6,27,92,121
103,Rhian Brewster ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
104,Liam Bridcutt ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
105,Miguel Britos ,Defender,27,4,36,34,91%,0,5,49,144,84,0,140,143,106,4,86,45,0,0,2,"1,025",37.96,2,12,17%,1,94,6,2,36,2,1,1,0,0,0,,,,,,,,,,,,,,,
106,Leon Britton ,Midfielder,16,,,23,57%,,0,19,18,6,,90,44,39,5,7,2,,0,0,727,45.44,0,0,0%,0,20,3,0,6,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
107,Isaiah Brown ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
108,Marcus Browne ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
109,Alex Bruce ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
110,Chris Brunt ,Midfielder,31,,,36,72%,,10,33,54,21,,128,87,85,17,27,21,,0,4,910,29.35,6,176,25%,6,90,5,0,17,2,3,1,0,2,0,0.10,0,1,38,11,29%,0,,,,,,,,
111,Callum Buckley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
112,Reece Burke ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
113,Matt Butcher ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
114,Jack Butland ,Goalkeeper,5,2,8,,,,,,,,,,,,,,,0,0,0,140,28.00,,,,,56,0,0,0,,0,,,,,,,,,,,,17,0,1,8,2,2,19,40
115,Sam Byram ,Defender,18,3,27,24,75%,0,2,42,59,32,0,69,63,65,4,23,22,0,0,1,435,24.17,1,27,15%,1,20,5,1,21,2,0,0,0,0,0,,,,,,,,,,,,,,,
116,Willy Caballero ,Goalkeeper,17,6,13,,,,,,,,,,,,,,,0,1,0,391,23.00,,,,,72,0,0,0,,0,,,,,,,,,,,,31,1,8,11,4,13,76,79
117,Yohan Cabaye ,Midfielder,32,,,60,62%,,13,72,21,5,,146,102,134,13,8,12,,2,3,984,30.75,6,109,26%,3,56,7,0,31,2,4,0,3,1,0,0.13,0,0,40,11,28%,2,,,,,,,,
118,Martín Cáceres ,Defender,1,0,1,1,100%,0,0,1,4,4,0,3,3,2,0,2,2,0,0,0,50,50.00,0,0,0%,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
119,Gary Cahill ,Defender,37,15,29,53,75%,0,4,46,167,107,2,136,168,103,4,91,56,1,2,0,"1,849",49.97,0,1,0%,1,112,5,0,34,2,6,3,3,0,0,,,,,,,,,,,,,,,
120,Jonathan Calleri ,Forward,16,,,5,,,7,4,3,2,,,,,,,,,,0,119,7.44,0,15,,,,0,0,10,9,1,0,1,0,0,0.06,0,0,16,3,19%,4,,,,,,,,
121,Dominic Calvert-Lewin ,Forward,11,,,7,,,1,5,7,5,,,,,,,,,,0,87,7.91,0,0,,,,1,0,4,1,1,0,1,0,1,0.09,0,0,7,1,14%,1,,,,,,,,
122,Geoff Cameron ,Midfielder,19,,,48,77%,,4,32,47,26,,121,146,103,26,55,43,,0,1,787,41.42,1,14,29%,1,45,1,0,17,1,0,0,0,0,0,0.00,0,0,11,5,45%,1,,,,,,,,
123,Joel Campbell ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
124,Emre Can ,Midfielder,32,,,66,71%,,15,32,52,27,,180,181,194,21,68,57,,0,2,"1,659",51.84,2,23,17%,6,104,6,0,70,2,5,1,3,1,0,0.16,0,0,45,11,24%,2,,,,,,,,
